,Code,Site,Bank,Dist,Group,Abund,Biomass,PercC,PercN,d13C,d15N,Trophic,shortSite,SiteBank,d13Cadj,d15Nadj,PercCaq,PercNaq,Region,Width,WidthClass,WidthClass2,Order,OrderClass,Geomorph,Banks,VegFld,VegUp,VegShift,PercAq,PercAqAdj,PercAqRel
2119,BALL1-LB/50 PrSpHu,BALL1,LB,50,PrSpHu,1,5.5,0.5478,0.1037,-16.04,2.64,2,BALL1,BALL1LB,-16.84,-4.16,0.3587,0.8442,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.3587,0.4916,0
2122,BALL1-LB/65 PrBeet,BALL1,LB,65,PrBeet,2,81,0.5035,0.121,-14.89,4.42,2,BALL1,BALL1LB,-15.69,-2.38,0.6836,0.4589,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.6836,0.6836,0.485461441
2123,BALL1-LB/65 PrSpWe,BALL1,LB,65,PrSpWe,7,23.7,0.486,0.1142,-15.15,3.54,2,BALL1,BALL1LB,-15.95,-3.26,0.6102,0.6494,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.6102,0.6102,0.299873578
2124,BALL1-LB/65 PrSpHu,BALL1,LB,65,PrSpHu,2,19.8,0.5256,0.1116,-15.48,4.73,2,BALL1,BALL1LB,-16.28,-2.07,0.517,0.3918,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.517,0.517,0.064222503
2126,BALL1-LB/80 PrSpHu,BALL1,LB,80,PrSpHu,2,15,0.5666,0.1109,-16.18,5.71,2,BALL1,BALL1LB,-16.98,-1.09,0.3192,0.1796,Coweeta,5,3,3to4,3,3to4,Meandering,Gradual,Overstory,Overstory,None,0.3192,0.4916,0
2146,BATE1-LB/0 PrSpWe,BATE1,LB,0,PrSpWe,7,25.8,0.5034,0.1148,-14.55,4.44,2,BATE1,BATE1LB,-23.37,1.54,0.2815,1,Coweeta,2,2,1to2,1,1to2,Straight,Gradual,Overstory,Overstory,None,1,1,1
2152,BATE1-LB/2.5 PrSpHu,BATE1,LB,2.5,PrSpHu,1,5,0.5411,0.0626,-16.95,2.45,2,BATE1,BATE1LB,-25.77,-0.45,0,0.4221,Coweeta,2,2,1to2,1,1to2,Straight,Gradual,Overstory,Overstory,None,0.4221,0.4641,0
2153,BATE1-LB/5 PrSpWe,BATE1,LB,5,PrSpWe,5,29,0.5136,0.1099,-14.66,3.32,2,BATE1,BATE1LB,-23.48,0.42,0.2686,0.6826,Coweeta,2,2,1to2,1,1to2,Straight,Gradual,Overstory,Overstory,None,0.6826,0.6826,0.407725322
2162,BATE1-LB/15 PrBeet,BATE1,LB,15,PrBeet,42,4.9,0.5046,0.0947,-14.87,2.59,2,BATE1,BATE1LB,-23.69,-0.31,0.2438,0.4641,Coweeta,2,2,1to2,1,1to2,Straight,Gradual,Overstory,Overstory,None,0.4641,0.4641,0
2172,BATE1-LB/25 PrSpWe,BATE1,LB,25,PrSpWe,4,6.8,0.5918,0.096,-15.45,4.04,2,BATE1,BATE1LB,-24.27,1.14,0.1755,0.8982,Coweeta,2,2,1to2,1,1to2,Straight,Gradual,Overstory,Overstory,None,0.8982,0.8982,0.810039186
2173,BATE1-LB/25 PrSpHu,BATE1,LB,25,PrSpHu,2,4.5,0.4999,0.0798,-15.86,4.38,2,BATE1,BATE1LB,-24.68,1.48,0.1272,1,Coweeta,2,2,1to2,1,1to2,Straight,Gradual,Overstory,Overstory,None,1,1,1
541,BECH1-RB/0 PrBeet,BECH1,RB,0,PrBeet,11,31,0.4562,0.1156,-27.27,5,2,BECH1,BECH1RB,-24.15,1.05,0.8623,0.9278,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.8623,0.8623,0.933708482
542,BECH1-RB/0 PrSpHu,BECH1,RB,0,PrSpHu,7,8.2,0.4467,0.1299,-25.92,5.51,2,BECH1,BECH1RB,-22.8,1.56,0.3986,1,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.3986,0.3986,0.29728246
546,BECH1-RB/256 PrSpWe,BECH1,RB,256,PrSpWe,4,4.3,0.466,0.1311,-25.3,0.64,2,BECH1,BECH1RB,-22.18,-3.31,0.1854,0.2553,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.1854,0.1854,0.004666484
549,BECH1-RB/128 PrSpHu,BECH1,RB,128,PrSpHu,21,22,0.4474,0.1229,-24.76,2.99,2,BECH1,BECH1RB,-21.64,-0.96,0,0.6177,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0,0.182,0
550,BECH1-RB/128 PrSpWe,BECH1,RB,128,PrSpWe,7,9.9,0.4397,0.1458,-24.88,1.22,2,BECH1,BECH1RB,-21.76,-2.73,0.0411,0.3447,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.0411,0.182,0
554,BECH1-RB/64 PrSpHu,BECH1,RB,64,PrSpHu,9,20.4,0.4584,0.1113,-25.28,0.12,2,BECH1,BECH1RB,-22.16,-3.83,0.1788,0.1751,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.1788,0.182,0
555,BECH1-RB/64 PrSpWe,BECH1,RB,64,PrSpWe,5,7.7,0.441,0.1289,-25.39,0.54,2,BECH1,BECH1RB,-22.27,-3.41,0.2164,0.2399,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.2164,0.2164,0.047213835
557,BECH1-RB/32 PrSpWe,BECH1,RB,32,PrSpWe,13,23.2,0.4464,0.1296,-26.05,3.53,2,BECH1,BECH1RB,-22.93,-0.42,0.4432,0.7011,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.4432,0.4432,0.358495745
563,BECH1-RB/1 PrSpHu,BECH1,RB,1,PrSpHu,25,52.9,0.4547,0.1223,-25.86,5.19,2,BECH1,BECH1RB,-22.74,1.24,0.3778,0.9572,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.3778,0.3778,0.268734559
565,BECH1-RB/1 PrBeet,BECH1,RB,1,PrBeet,33,29,0.489,0.0995,-27.21,5.41,2,BECH1,BECH1RB,-24.09,1.46,0.8418,0.9911,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.8418,0.8418,0.90557233
567,BECH1-RB/2 PrSpHu,BECH1,RB,2,PrSpHu,13,36.4,0.4418,0.1252,-25.83,4.93,2,BECH1,BECH1RB,-22.71,0.98,0.3677,0.9171,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.3677,0.3677,0.254872358
569,BECH1-RB/2 PrBeet,BECH1,RB,2,PrBeet,5,5,0.455,0.1028,-27.41,4.33,2,BECH1,BECH1RB,-24.29,0.38,0.9106,0.8244,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.9106,0.9106,1
571,BECH1-RB/4 PrSpHu,BECH1,RB,4,PrSpHu,9,34.4,0.4454,0.1221,-25.77,4.79,2,BECH1,BECH1RB,-22.65,0.84,0.3471,0.8955,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.3471,0.3471,0.226598957
574,BECH1-RB/8 PrSpHu,BECH1,RB,8,PrSpHu,14,42.2,0.4316,0.1172,-25.85,4.97,2,BECH1,BECH1RB,-22.73,1.02,0.3746,0.9232,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.3746,0.3746,0.264342575
577,BECH1-RB/16 PrSpHu,BECH1,RB,16,PrSpHu,6,28.4,0.4523,0.1171,-26.38,4.74,2,BECH1,BECH1RB,-23.26,0.79,0.5566,0.8877,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.5566,0.5566,0.514136701
582,BECH1-RB/256 PrBeet,BECH1,RB,256,PrBeet,11,29.9,0.5156,0.0961,-25.29,2.42,2,BECH1,BECH1RB,-22.17,-1.53,0.182,0.5298,Tagliamento,400,7,7+,6,5to6,Braided,Gradual,Barren,Overstory,Barren–Overstory,0.182,0.182,0
509,BECH2-RB/2 PrSpHu,BECH2,RB,2,PrSpHu,16,101.7,0.4537,0.1051,-26.73,4.95,2,BECH2,BECH2RB,-32.4,3.53,0.8905,1,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.8905,0.8905,0.767417162
513,BECH2-RB/4 PrSpHu,BECH2,RB,4,PrSpHu,11,56.1,0.4635,0.1228,-26.85,4.68,2,BECH2,BECH2RB,-32.52,3.26,0.9124,0.9649,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.9124,0.9124,0.81393373
517,BECH2-RB/8 PrSpHu,BECH2,RB,8,PrSpHu,6,21.3,0.4693,0.1226,-27.1,5.41,2,BECH2,BECH2RB,-32.77,3.99,0.958,1,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.958,0.958,0.910790144
519,BECH2-RB/16 PrSpHu,BECH2,RB,16,PrSpHu,38,74.5,0.4633,0.113,-26.57,4.88,2,BECH2,BECH2RB,-32.24,3.46,0.8613,0.9909,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.8613,0.8613,0.705395072
522,BECH2-RB/32 PrSpHu,BECH2,RB,32,PrSpHu,9,16.3,0.4833,0.1243,-25.55,4.39,2,BECH2,BECH2RB,-31.22,2.97,0.6752,0.9272,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.6752,0.6752,0.31011045
525,BECH2-RB/64 PrSpHu,BECH2,RB,64,PrSpHu,8,9.8,0.4558,0.1294,-25.07,1.65,2,BECH2,BECH2RB,-30.74,0.23,0.5875,0.5708,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.5875,0.5875,0.123831776
527,BECH2-RB/128 PrSpHu,BECH2,RB,128,PrSpHu,18,24.5,0.4494,0.1169,-24.59,2.85,2,BECH2,BECH2RB,-30.26,1.43,0.5,0.7269,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.5,0.5292,0
531,BECH2-RB/224 PrBeet,BECH2,RB,224,PrBeet,9,145.4,0.5062,0.0915,-26.53,0.68,2,BECH2,BECH2RB,-32.2,-0.74,0.854,0.4447,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.854,0.854,0.68988955
532,BECH2-RB/224 PrSpHu,BECH2,RB,224,PrSpHu,24,62.6,0.4088,0.1036,-24.75,1.18,2,BECH2,BECH2RB,-30.42,-0.24,0.5292,0.5097,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.5292,0.5292,0
534,BECH2-RB/0 PrBeet,BECH2,RB,0,PrBeet,9,24.3,0.4817,0.1125,-27.33,4.34,2,BECH2,BECH2RB,-33,2.92,1,0.9207,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,1,1,1
535,BECH2-RB/0 PrSpHu,BECH2,RB,0,PrSpHu,4,17.2,0.4844,0.1249,-27.48,5.73,2,BECH2,BECH2RB,-33.15,4.31,1,1,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,1,1,1
584,BECH2-RB/1 PrSpHu,BECH2,RB,1,PrSpHu,2,5.5,0.4253,0.1228,-25.02,3.96,2,BECH2,BECH2RB,-30.69,2.54,0.5784,0.8712,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,0.5784,0.5784,0.104502974
586,BECH2-RB/1 PrBeet,BECH2,RB,1,PrBeet,3,7.5,0.4788,0.103,-27.79,3.71,2,BECH2,BECH2RB,-33.46,2.29,1,0.8387,Tagliamento,400,7,7+,6,5to6,Braided,Terrace,Barren,Overstory,Barren–Overstory,1,1,1
129,BELG1-LB/71 PrBeet,BELG1,LB,71,PrBeet,7,33,0.4633,0.1156,-24.54,4.35,2,BELG1,BELG1LB,-28.03,-1.69,0.3614,0.8318,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.3614,0.3614,0.02652439
136,BELG1-LB/84 PrBeet,BELG1,LB,84,PrBeet,13,30.5,0.4766,0.0915,-22.7,2.17,2,BELG1,BELG1LB,-26.19,-3.87,0.0944,0.3796,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.0944,0.344,0
138,BELG1-LB/84 PrSpHu,BELG1,LB,84,PrSpHu,15,9.7,0.4314,0.1251,-24.11,0.8,2,BELG1,BELG1LB,-27.6,-5.24,0.299,0.0954,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.299,0.344,0
209,BELG1-LB/0 PrSpHu,BELG1,LB,0,PrSpHu,46,162.7,0.4433,0.1152,-25.31,1.1,2,BELG1,BELG1LB,-28.8,-4.94,0.4732,0.1576,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.4732,0.4732,0.19695122
210,BELG1-LB/0 PrBeet,BELG1,LB,0,PrBeet,59,108.7,0.4691,0.0944,-29.06,2.38,2,BELG1,BELG1LB,-32.55,-3.66,1,0.4232,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,1,1,1
212,BELG1-LB/1 PrSpHu,BELG1,LB,1,PrSpHu,22,64.5,0.4415,0.1225,-25.13,1.41,2,BELG1,BELG1LB,-28.62,-4.63,0.4471,0.222,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.4471,0.4471,0.157164634
214,BELG1-LB/1 PrBeet,BELG1,LB,1,PrBeet,30,45.8,0.4682,0.1017,-28.09,2.11,2,BELG1,BELG1LB,-31.58,-3.93,0.8766,0.3672,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.8766,0.8766,0.811890244
216,BELG1-LB/2 PrSpHu,BELG1,LB,2,PrSpHu,48,201.1,0.4554,0.1155,-25.3,1.7,2,BELG1,BELG1LB,-28.79,-4.34,0.4717,0.2821,Tagliamento,72,7,5to6,7,5to6,Meandering,Gradual,Barren,Overstory,Barren–Overstory,0.4717,0.4717,0.194664634
