Code,Site,Bank,Dist,Group,Method,Replicate,Abund,Biomass
RESI4-AQ/Aq AqMisc,RESI4,AQ,Aq,AqMisc,D-Net,0,38,13.3
RESI4-AQ/Aq AqTric,RESI4,AQ,Aq,AqTric,D-Net,0,8,16.7
RESI4-AQ/Aq AqEphe,RESI4,AQ,Aq,AqEphe,D-Net,0,75,43.2
RESI4-AQ/Aq AqPlec,RESI4,AQ,Aq,AqPlec,D-Net,0,37,9.6
RESI4-AQ/Aq TeMisc,RESI4,AQ,Aq,TeMisc,D-Net,0,2,12.5
RESI4-AQ/Aq HeHemi,RESI4,AQ,Aq,HeHemi,D-Net,0,1,0.5
RESI4-AQ/Aq AeAqDi,RESI4,AQ,Aq,AeAqDi,D-Net,0,1,0.4
ARZO1-AQ/Aq AqMisc,ARZO1,AQ,Aq,AqMisc,D-Net,0,53,40.9
ARZO1-AQ/Aq AqTric,ARZO1,AQ,Aq,AqTric,D-Net,0,20,23.4
ARZO1-AQ/Aq AqEphe,ARZO1,AQ,Aq,AqEphe,D-Net,0,48,9.1
ARZO1-AQ/Aq AqPlec,ARZO1,AQ,Aq,AqPlec,D-Net,0,2,0.6
RESI2-AQ/Aq AqTric,RESI2,AQ,Aq,AqTric,D-Net,0,47,77
RESI2-AQ/Aq AqMisc,RESI2,AQ,Aq,AqMisc,D-Net,0,157,52.9
RESI2-AQ/Aq AqPlec,RESI2,AQ,Aq,AqPlec,D-Net,0,132,27.2
RESI2-AQ/Aq AqEphe,RESI2,AQ,Aq,AqEphe,D-Net,0,1011,72.2
RESI2-AQ/Aq AqEphe,RESI2,AQ,Aq,AqEphe,D-Net,0,0,67.4
RESI2-AQ/Aq TeMisc,RESI2,AQ,Aq,TeMisc,D-Net,0,1,1.1
RESI2-AQ/Aq AqEphe,RESI2,AQ,Aq,AqEphe,D-Net,0,0,107.9
RESI3-AQ/Aq AqTric,RESI3,AQ,Aq,AqTric,D-Net,0,54,296
RESI3-AQ/Aq AqMisc,RESI3,AQ,Aq,AqMisc,D-Net,0,17,102.6
RESI3-AQ/Aq AqEphe,RESI3,AQ,Aq,AqEphe,D-Net,0,126,55.1
RESI3-AQ/Aq TeMisc,RESI3,AQ,Aq,TeMisc,D-Net,0,1,0.7
RESI3-AQ/Aq PrBeet,RESI3,AQ,Aq,PrBeet,D-Net,0,2,0.9
RESI3-AQ/Aq AqPlec,RESI3,AQ,Aq,AqPlec,D-Net,0,2,0.9
RESI3-AQ/Aq TeMisc,RESI3,AQ,Aq,TeMisc,D-Net,0,92,1.1
RESI3-AQ/Aq AqTric,RESI3,AQ,Aq,AqTric,D-Net,0,33,99.8
RESI2-AQ/Aq AqMisc,RESI2,AQ,Aq,AqMisc,Surber,0,92,16.5
RESI2-AQ/Aq AqPlec,RESI2,AQ,Aq,AqPlec,Surber,0,33,6.2
RESI2-AQ/Aq AqEphe,RESI2,AQ,Aq,AqEphe,Surber,0,116,56
RESI2-AQ/Aq TeMisc,RESI2,AQ,Aq,TeMisc,Surber,0,1,1.1
RESI2-AQ/Aq AqTric,RESI2,AQ,Aq,AqTric,Surber,0,48,63.7
ARZO1-AQ/Aq AqMisc,ARZO1,AQ,Aq,AqMisc,Surber,0,48,5.3
ARZO1-AQ/Aq AqEphe,ARZO1,AQ,Aq,AqEphe,Surber,0,13,3.9
ARZO1-AQ/Aq AqPlec,ARZO1,AQ,Aq,AqPlec,Surber,0,33,0.6
ARZO1-AQ/Aq AqTric,ARZO1,AQ,Aq,AqTric,Surber,0,1,6.6
BECH1-AQ/Aq AqEphe,BECH1,AQ,Aq,AqEphe,D-Net,0,145,56.7
BECH1-AQ/Aq AqMisc,BECH1,AQ,Aq,AqMisc,D-Net,0,29,33.8
BECH1-AQ/Aq AqTric,BECH1,AQ,Aq,AqTric,D-Net,0,11,18.8
BECH1-AQ/Aq AqPlec,BECH1,AQ,Aq,AqPlec,D-Net,0,7,0.5
BECH1-AQ/Aq AqEphe,BECH1,AQ,Aq,AqEphe,Surber,0,89,21.1
BECH1-AQ/Aq AqMisc,BECH1,AQ,Aq,AqMisc,Surber,0,26,3.6
BECH1-AQ/Aq AqPlec,BECH1,AQ,Aq,AqPlec,Surber,0,2,1.9
BECH2-AQ/Aq AqEphe,BECH2,AQ,Aq,AqEphe,D-Net,0,11,4
BECH2-AQ/Aq AqTric,BECH2,AQ,Aq,AqTric,D-Net,0,1,3.8
BECH2-AQ/Aq AqMisc,BECH2,AQ,Aq,AqMisc,D-Net,0,11,1
BECH2-AQ/Aq AqPlec,BECH2,AQ,Aq,AqPlec,D-Net,0,2,0.6
BECH2-AQ/Aq TeMisc,BECH2,AQ,Aq,TeMisc,D-Net,0,2,1.1
RESI5-AQ/Aq AqMisc,RESI5,AQ,Aq,AqMisc,D-Net,0,7,4.3
RESI5-AQ/Aq AqTric,RESI5,AQ,Aq,AqTric,D-Net,0,7,19.9
RESI5-AQ/Aq AqEphe,RESI5,AQ,Aq,AqEphe,D-Net,0,7,3
RESI1-AQ/Aq AqTric,RESI1,AQ,Aq,AqTric,Surber,0,5,8.7
RESI1-AQ/Aq AqMisc,RESI1,AQ,Aq,AqMisc,Surber,0,32,8.4
RESI1-AQ/Aq TeMisc,RESI1,AQ,Aq,TeMisc,Surber,0,4,8.3
RESI1-AQ/Aq TeMisc,RESI1,AQ,Aq,TeMisc,Surber,0,1,1.8
RESI1-AQ/Aq AqPlec,RESI1,AQ,Aq,AqPlec,Surber,0,10,1
RESI1-AQ/Aq AqEphe,RESI1,AQ,Aq,AqEphe,Surber,0,51,24.6
RESI5-AQ/Aq AqMisc,RESI5,AQ,Aq,AqMisc,Surber,0,156,16.4
RESI5-AQ/Aq TeMisc,RESI5,AQ,Aq,TeMisc,Surber,0,2,0.3
RESI5-AQ/Aq TeMisc,RESI5,AQ,Aq,TeMisc,Surber,0,1,0.6
RESI5-AQ/Aq AqTric,RESI5,AQ,Aq,AqTric,Surber,0,9,33.5
RESI5-AQ/Aq AqPlec,RESI5,AQ,Aq,AqPlec,Surber,0,3,0.9
RESI5-AQ/Aq AqEphe,RESI5,AQ,Aq,AqEphe,Surber,0,51,12.7
BELG1-LB/0 TeMisc,BELG1,LB,0,TeMisc,Night Sampling,0,29,7.6
BELG1-LB/0 HeHemi,BELG1,LB,0,HeHemi,Night Sampling,0,8,6.7
BELG1-LB/0 AeAqDi,BELG1,LB,0,AeAqDi,Night Sampling,0,2,8.3
BELG1-LB/0 AeAqTr,BELG1,LB,0,AeAqTr,Night Sampling,0,35,26.2
BELG1-LB/0 AeLepi,BELG1,LB,0,AeLepi,Night Sampling,0,13,18.6
BOLZ1-LB/0 TeMisc,BOLZ1,LB,0,TeMisc,Pitfall,1,8,0.4
BOLZ1-LB/0 PrSpHu,BOLZ1,LB,0,PrSpHu,Pitfall,1,3,0.4
BOLZ1-LB/0 PrSpHu,BOLZ1,LB,0,PrSpHu,Pitfall,2,11,2.3
BOLZ1-LB/0 TeMisc,BOLZ1,LB,0,TeMisc,Pitfall,2,32,14
BOLZ1-LB/0 PrBeet,BOLZ1,LB,0,PrBeet,Pitfall,2,1,0.4
BOLZ1-LB/0 AeAqDi,BOLZ1,LB,0,AeAqDi,Pitfall,2,1,0.4
BOLZ1-LB/0 HeHemi,BOLZ1,LB,0,HeHemi,Pitfall,2,1,1.2
BOLZ1-LB/1 PrBeet,BOLZ1,LB,1,PrBeet,Pitfall,1,2,15.9
BOLZ1-LB/1 TeMisc,BOLZ1,LB,1,TeMisc,Pitfall,1,22,142.3
BOLZ1-LB/1 HeHemi,BOLZ1,LB,1,HeHemi,Pitfall,1,1,1.3
BOLZ1-LB/1 PrSpHu,BOLZ1,LB,1,PrSpHu,Pitfall,1,1,4.6
BOLZ1-LB/1 PrSpHu,BOLZ1,LB,1,PrSpHu,Pitfall,2,5,24.8
BOLZ1-LB/1 PrBeet,BOLZ1,LB,1,PrBeet,Pitfall,2,5,16.7
BOLZ1-LB/1 TeMisc,BOLZ1,LB,1,TeMisc,Pitfall,2,27,9.6
BOLZ1-LB/1 PrSpWe,BOLZ1,LB,1,PrSpWe,Pitfall,2,1,3.9
BOLZ1-LB/1 TeMisc,BOLZ1,LB,1,TeMisc,Pitfall,3,35,131.1
BOLZ1-LB/1 PrSpHu,BOLZ1,LB,1,PrSpHu,Pitfall,3,10,1.7
BOLZ1-LB/1 PrBeet,BOLZ1,LB,1,PrBeet,Pitfall,3,2,0.6
BOLZ1-LB/2 TeMisc,BOLZ1,LB,2,TeMisc,Pitfall,1,13,36.3
BOLZ1-LB/2 PrSpHu,BOLZ1,LB,2,PrSpHu,Pitfall,1,1,0.4
BOLZ1-LB/2 PrBeet,BOLZ1,LB,2,PrBeet,Pitfall,1,3,3.9
BOLZ1-LB/2 TeMisc,BOLZ1,LB,2,TeMisc,Pitfall,2,16,84.4
BOLZ1-LB/2 PrBeet,BOLZ1,LB,2,PrBeet,Pitfall,2,4,23.4
BOLZ1-LB/2 PrSpWe,BOLZ1,LB,2,PrSpWe,Pitfall,2,1,5.7
BOLZ1-LB/2 PrBeet,BOLZ1,LB,2,PrBeet,Pitfall,3,5,3
BOLZ1-LB/2 TeMisc,BOLZ1,LB,2,TeMisc,Pitfall,3,28,28.1
BOLZ1-LB/2 PrSpHu,BOLZ1,LB,2,PrSpHu,Pitfall,3,1,1
BOLZ1-LB/2 HeHemi,BOLZ1,LB,2,HeHemi,Pitfall,3,2,2.2
BOLZ1-LB/4 TeMisc,BOLZ1,LB,4,TeMisc,Pitfall,1,62,18.2
BOLZ1-LB/4 PrSpHu,BOLZ1,LB,4,PrSpHu,Pitfall,1,2,29.8
BOLZ1-LB/4 PrBeet,BOLZ1,LB,4,PrBeet,Pitfall,1,3,0.8
BOLZ1-LB/4 PrSpWe,BOLZ1,LB,4,PrSpWe,Pitfall,1,1,0.5
BOLZ1-LB/4 TeMisc,BOLZ1,LB,4,TeMisc,Pitfall,2,40,74.4
BOLZ1-LB/4 PrSpWe,BOLZ1,LB,4,PrSpWe,Pitfall,2,1,2
BOLZ1-LB/4 PrSpHu,BOLZ1,LB,4,PrSpHu,Pitfall,2,1,4.1
BOLZ1-LB/4 PrBeet,BOLZ1,LB,4,PrBeet,Pitfall,2,4,1
BOLZ1-LB/8 TeMisc,BOLZ1,LB,8,TeMisc,Pitfall,1,18,12.5
BOLZ1-LB/8 PrBeet,BOLZ1,LB,8,PrBeet,Pitfall,1,2,6.3
BOLZ1-LB/8 PrSpWe,BOLZ1,LB,8,PrSpWe,Pitfall,1,1,0.7
BOLZ1-LB/8 PrSpHu,BOLZ1,LB,8,PrSpHu,Pitfall,1,1,1.3
BOLZ1-LB/8 TeMisc,BOLZ1,LB,8,TeMisc,Pitfall,2,47,27.4
BOLZ1-LB/8 HeHemi,BOLZ1,LB,8,HeHemi,Pitfall,2,1,0.4
BOLZ1-LB/8 PrBeet,BOLZ1,LB,8,PrBeet,Pitfall,2,8,53.6
BOLZ1-LB/8 PrSpHu,BOLZ1,LB,8,PrSpHu,Pitfall,2,2,9.2
BOLZ1-LB/8 TeMisc,BOLZ1,LB,8,TeMisc,Pitfall,3,25,6.1
BOLZ1-LB/16 TeMisc,BOLZ1,LB,16,TeMisc,Pitfall,1,17,85.8
BOLZ1-LB/16 PrSpWe,BOLZ1,LB,16,PrSpWe,Pitfall,1,7,26.5
BOLZ1-LB/16 PrSpHu,BOLZ1,LB,16,PrSpHu,Pitfall,1,6,14
BOLZ1-LB/16 HeLepi,BOLZ1,LB,16,HeLepi,Pitfall,1,1,0.5
BOLZ1-LB/16 HeHemi,BOLZ1,LB,16,HeHemi,Pitfall,1,1,1.4
BOLZ1-LB/16 TeMisc,BOLZ1,LB,16,TeMisc,Pitfall,2,23,11.9
BOLZ1-LB/16 PrSpWe,BOLZ1,LB,16,PrSpWe,Pitfall,2,1,0.7
BOLZ1-LB/16 PrBeet,BOLZ1,LB,16,PrBeet,Pitfall,2,1,0.5
BOLZ1-LB/16 PrSpHu,BOLZ1,LB,16,PrSpHu,Pitfall,2,4,17.7
BOLZ1-LB/16 TeMisc,BOLZ1,LB,16,TeMisc,Pitfall,3,18,6.1
BOLZ1-LB/16 PrBeet,BOLZ1,LB,16,PrBeet,Pitfall,3,1,10.8
BOLZ1-LB/16 HeHemi,BOLZ1,LB,16,HeHemi,Pitfall,3,2,1.1
BOLZ1-LB/16 PrSpWe,BOLZ1,LB,16,PrSpWe,Pitfall,3,1,0.5
BOLZ1-LB/16 PrSpHu,BOLZ1,LB,16,PrSpHu,Pitfall,3,3,1
BOLZ1-RB/4 PrSpHu,BOLZ1,RB,4,PrSpHu,Pitfall,1,6,19.6
BOLZ1-RB/4 PrBeet,BOLZ1,RB,4,PrBeet,Pitfall,1,2,4.6
BOLZ1-RB/4 TeMisc,BOLZ1,RB,4,TeMisc,Pitfall,2,62,27
BOLZ1-RB/4 PrBeet,BOLZ1,RB,4,PrBeet,Pitfall,2,4,2.6
BOLZ1-RB/4 AeAqDi,BOLZ1,RB,4,AeAqDi,Pitfall,2,1,0.7
BOLZ1-RB/4 PrSpHu,BOLZ1,RB,4,PrSpHu,Pitfall,3,16,47.6
BOLZ1-RB/4 PrSpWe,BOLZ1,RB,4,PrSpWe,Pitfall,3,1,0.9
BOLZ1-RB/4 PrBeet,BOLZ1,RB,4,PrBeet,Pitfall,3,7,5.8
BOLZ1-RB/4 TeMisc,BOLZ1,RB,4,TeMisc,Pitfall,3,11,6.5
BOLZ1-RB/8 PrSpHu,BOLZ1,RB,8,PrSpHu,Pitfall,1,2,6
BOLZ1-RB/8 TeMisc,BOLZ1,RB,8,TeMisc,Pitfall,1,3,1.4
BOLZ1-RB/8 PrSpHu,BOLZ1,RB,8,PrSpHu,Pitfall,2,4,20.1
BOLZ1-RB/8 TeMisc,BOLZ1,RB,8,TeMisc,Pitfall,2,9,0.8
BOLZ1-RB/8 PrBeet,BOLZ1,RB,8,PrBeet,Pitfall,2,2,2.9
BOLZ1-RB/8 PrBeet,BOLZ1,RB,8,PrBeet,Pitfall,3,2,0.7
BOLZ1-RB/8 PrSpHu,BOLZ1,RB,8,PrSpHu,Pitfall,3,2,55.2
BOLZ1-RB/8 TeMisc,BOLZ1,RB,8,TeMisc,Pitfall,3,1,1.1
BOLZ1-RB/16 TeMisc,BOLZ1,RB,16,TeMisc,Pitfall,1,55,3.4
BOLZ1-RB/16 PrSpHu,BOLZ1,RB,16,PrSpHu,Pitfall,1,5,56.3
BOLZ1-RB/16 PrBeet,BOLZ1,RB,16,PrBeet,Pitfall,1,1,1.5
BOLZ1-RB/16 HeHemi,BOLZ1,RB,16,HeHemi,Pitfall,1,1,0.2
BOLZ1-RB/16 TeMisc,BOLZ1,RB,16,TeMisc,Pitfall,2,45,2.2
BOLZ1-RB/16 PrBeet,BOLZ1,RB,16,PrBeet,Pitfall,2,7,10.6
BOLZ1-RB/16 PrSpHu,BOLZ1,RB,16,PrSpHu,Pitfall,2,5,10.6
BOLZ1-RB/16 TeMisc,BOLZ1,RB,16,TeMisc,Pitfall,3,52,56
BOLZ1-RB/16 PrBeet,BOLZ1,RB,16,PrBeet,Pitfall,3,4,3.1
BOLZ1-RB/16 PrSpHu,BOLZ1,RB,16,PrSpHu,Pitfall,3,2,3.4
BOLZ1-RB/16 HeHemi,BOLZ1,RB,16,HeHemi,Pitfall,3,2,1.6
BOLZ1-RB/32 PrSpHu,BOLZ1,RB,32,PrSpHu,Pitfall,1,2,5.5
BOLZ1-RB/32 TeMisc,BOLZ1,RB,32,TeMisc,Pitfall,1,3,1.3
BOLZ1-RB/32 PrSpHu,BOLZ1,RB,32,PrSpHu,Pitfall,2,1,5.1
BOLZ1-RB/32 TeMisc,BOLZ1,RB,32,TeMisc,Pitfall,2,6,2
BOLZ1-RB/32 HeHemi,BOLZ1,RB,32,HeHemi,Pitfall,2,3,0.7
BOLZ1-RB/32 TeMisc,BOLZ1,RB,32,TeMisc,Pitfall,3,4,49.2
BOLZ1-RB/32 PrBeet,BOLZ1,RB,32,PrBeet,Pitfall,3,1,0.7
BOLZ1-RB/32 PrSpHu,BOLZ1,RB,32,PrSpHu,Pitfall,3,3,20.1
BOLZ1-RB/68 TeMisc,BOLZ1,RB,68,TeMisc,Pitfall,1,51,10.9
BOLZ1-RB/68 PrSpHu,BOLZ1,RB,68,PrSpHu,Pitfall,1,1,2.8
BOLZ1-RB/68 HeHemi,BOLZ1,RB,68,HeHemi,Pitfall,1,1,0.3
BOLZ1-RB/68 TeMisc,BOLZ1,RB,68,TeMisc,Pitfall,2,39,2.5
BOLZ1-RB/68 HeHemi,BOLZ1,RB,68,HeHemi,Pitfall,2,3,0.4
BOLZ1-RB/68 TeMisc,BOLZ1,RB,68,TeMisc,Pitfall,3,7,5.2
BOLZ1-RB/68 PrSpHu,BOLZ1,RB,68,PrSpHu,Pitfall,3,2,6.5
BOLZ1-RB/132 PrSpHu,BOLZ1,RB,132,PrSpHu,Pitfall,1,18,40.7
BOLZ1-RB/132 PrSpHu,BOLZ1,RB,132,PrSpHu,Pitfall,2,7,10.9
BOLZ1-RB/132 TeMisc,BOLZ1,RB,132,TeMisc,Pitfall,2,38,3.4
BOLZ1-RB/132 HeLepi,BOLZ1,RB,132,HeLepi,Pitfall,2,1,1.5
BOLZ1-RB/132 PrBeet,BOLZ1,RB,132,PrBeet,Pitfall,3,1,12.9
BOLZ1-RB/132 PrSpHu,BOLZ1,RB,132,PrSpHu,Pitfall,3,12,39.3
BOLZ1-RB/132 TeMisc,BOLZ1,RB,132,TeMisc,Pitfall,3,2,0.7
BOLZ1-RB/145 PrBeet,BOLZ1,RB,145,PrBeet,Pitfall,1,6,56
BOLZ1-RB/145 PrSpHu,BOLZ1,RB,145,PrSpHu,Pitfall,1,17,34.8
BOLZ1-RB/145 TeMisc,BOLZ1,RB,145,TeMisc,Pitfall,1,13,40.9
BOLZ1-RB/145 PrSpWe,BOLZ1,RB,145,PrSpWe,Pitfall,1,1,0.4
BOLZ1-RB/145 HeHemi,BOLZ1,RB,145,HeHemi,Pitfall,1,1,0.5
BOLZ1-RB/145 PrSpHu,BOLZ1,RB,145,PrSpHu,Pitfall,2,2,6.2
BOLZ1-RB/145 PrBeet,BOLZ1,RB,145,PrBeet,Pitfall,2,2,4.4
BOLZ1-RB/145 TeMisc,BOLZ1,RB,145,TeMisc,Pitfall,2,27,1.7
BOLZ1-RB/145 PrSpWe,BOLZ1,RB,145,PrSpWe,Pitfall,2,1,0.2
BOLZ1-RB/145 HeHemi,BOLZ1,RB,145,HeHemi,Pitfall,2,1,0.2
BOLZ1-RB/145 TeMisc,BOLZ1,RB,145,TeMisc,Pitfall,3,34,7.4
BOLZ1-RB/145 PrSpHu,BOLZ1,RB,145,PrSpHu,Pitfall,3,8,13.9
BOLZ1-RB/145 PrBeet,BOLZ1,RB,145,PrBeet,Pitfall,3,10,27.1
BOLZ1-RB/155 PrBeet,BOLZ1,RB,155,PrBeet,Pitfall,1,5,17.4
BOLZ1-RB/155 TeMisc,BOLZ1,RB,155,TeMisc,Pitfall,1,13,16.5
BOLZ1-RB/155 PrSpHu,BOLZ1,RB,155,PrSpHu,Pitfall,1,1,1.2
BOLZ1-RB/155 HeHemi,BOLZ1,RB,155,HeHemi,Pitfall,1,2,1.2
BOLZ1-RB/155 PrBeet,BOLZ1,RB,155,PrBeet,Pitfall,2,5,8.4
BOLZ1-RB/155 PrSpHu,BOLZ1,RB,155,PrSpHu,Pitfall,2,7,2.2
BOLZ1-RB/155 TeMisc,BOLZ1,RB,155,TeMisc,Pitfall,2,9,2.7
BOLZ1-RB/155 PrBeet,BOLZ1,RB,155,PrBeet,Pitfall,3,17,79.2
BOLZ1-RB/155 PrSpHu,BOLZ1,RB,155,PrSpHu,Pitfall,3,6,9.8
BOLZ1-RB/155 TeMisc,BOLZ1,RB,155,TeMisc,Pitfall,3,19,16.7
BOLZ1-RB/155 HeHemi,BOLZ1,RB,155,HeHemi,Pitfall,3,1,0.8
BOLZ1-RB/176 PrBeet,BOLZ1,RB,176,PrBeet,Pitfall,1,1,6.2
BOLZ1-RB/176 TeMisc,BOLZ1,RB,176,TeMisc,Pitfall,1,14,0.7
BELG1-LB/71 PrBeet,BELG1,LB,71,PrBeet,Night Sampling,0,5,3.4
BELG1-LB/71 AeLepi,BELG1,LB,71,AeLepi,Night Sampling,0,21,46
BELG1-LB/71 AeAqTr,BELG1,LB,71,AeAqTr,Night Sampling,0,16,67.2
BELG1-LB/71 TeMisc,BELG1,LB,71,TeMisc,Night Sampling,0,16,8.8
BELG1-LB/71 TeMisc,BELG1,LB,71,TeMisc,Night Sampling,0,17,1.2
BELG1-LB/71 AeAqDi,BELG1,LB,71,AeAqDi,Night Sampling,0,1,0.1
BELG1-LB/71 HeHemi,BELG1,LB,71,HeHemi,Night Sampling,0,6,1.5
BOLZ1-RB/176 TeMisc,BOLZ1,RB,176,TeMisc,Pitfall,2,50,29.4
BOLZ1-RB/176 PrSpHu,BOLZ1,RB,176,PrSpHu,Pitfall,2,2,1.2
BOLZ1-RB/176 TeMisc,BOLZ1,RB,176,TeMisc,Pitfall,3,9,30.6
BOLZ1-RB/176 PrSpHu,BOLZ1,RB,176,PrSpHu,Pitfall,3,1,9.3
BOLZ1-RB/176 PrBeet,BOLZ1,RB,176,PrBeet,Pitfall,3,1,98.2
BELG1-LB/84 PrBeet,BELG1,LB,84,PrBeet,Pitfall,1,2,5.9
BELG1-LB/84 TeMisc,BELG1,LB,84,TeMisc,Pitfall,1,65,159
BELG1-LB/84 PrSpHu,BELG1,LB,84,PrSpHu,Pitfall,1,1,2.1
BELG1-LB/84 AeLepi,BELG1,LB,84,AeLepi,Pitfall,1,1,12.1
BELG1-LB/84 TeMisc,BELG1,LB,84,TeMisc,Pitfall,2,20,203.3
BELG1-LB/84 PrBeet,BELG1,LB,84,PrBeet,Pitfall,2,5,19.9
BELG1-LB/84 PrSpHu,BELG1,LB,84,PrSpHu,Pitfall,2,1,0.5
BELG1-LB/84 TeMisc,BELG1,LB,84,TeMisc,Pitfall,3,15,339.1
BELG1-LB/84 PrBeet,BELG1,LB,84,PrBeet,Pitfall,3,3,3.1
BELG1-LB/84 PrSpHu,BELG1,LB,84,PrSpHu,Pitfall,3,1,0.1
RESI5.2-LB/0 TeMisc,RESI5.2,LB,0,TeMisc,Night Sampling,0,28,5.8
RESI5.2-LB/0 AeAqDi,RESI5.2,LB,0,AeAqDi,Night Sampling,0,1,0.1
RESI5.2-LB/0 AeAqTr,RESI5.2,LB,0,AeAqTr,Night Sampling,0,15,77.2
RESI4-LB/0 AeAqTr,RESI4,LB,0,AeAqTr,Night Sampling,0,12,37.1
RESI4-LB/0 TeMisc,RESI4,LB,0,TeMisc,Night Sampling,0,41,8.9
RESI2-LB/28 AeAqEp,RESI2,LB,28,AeAqEp,Night Sampling,0,1,0.1
RESI2-LB/28 AeLepi,RESI2,LB,28,AeLepi,Night Sampling,0,2,4.8
RESI2-LB/28 AeAqTr,RESI2,LB,28,AeAqTr,Night Sampling,0,4,21.4
RESI2-LB/28 TeMisc,RESI2,LB,28,TeMisc,Night Sampling,0,6,2.6
RESI3-RB/0 TeMisc,RESI3,RB,0,TeMisc,Night Sampling,0,29,10.3
RESI3-RB/0 AeAqTr,RESI3,RB,0,AeAqTr,Night Sampling,0,22,98.1
RESI3-RB/0 AeAqTr,RESI3,RB,0,AeAqTr,Night Sampling,0,0,71.2
RESI3-RB/48 AeAqTr,RESI3,RB,48,AeAqTr,Night Sampling,0,6,54
RESI3-RB/48 TeMisc,RESI3,RB,48,TeMisc,Night Sampling,0,14,25.4
RESI3-RB/48 AeAqDi,RESI3,RB,48,AeAqDi,Night Sampling,0,1,9.2
RESI2-LB/0 AeAqTr,RESI2,LB,0,AeAqTr,Night Sampling,0,6,40.6
RESI2-LB/0 TeMisc,RESI2,LB,0,TeMisc,Night Sampling,0,13,1.5
RESI1.1-RB/16 AeLepi,RESI1.1,RB,16,AeLepi,Night Sampling,0,3,14.4
RESI1.1-RB/16 AeAqTr,RESI1.1,RB,16,AeAqTr,Night Sampling,0,10,44.5
RESI1.1-RB/16 TeMisc,RESI1.1,RB,16,TeMisc,Night Sampling,0,4,4.5
RESI1.1-RB/16 AeAqPl,RESI1.1,RB,16,AeAqPl,Night Sampling,0,1,0.7
RESI1.1-RB/16 TeMisc,RESI1.1,RB,16,TeMisc,Night Sampling,0,4,0.2
