"Code","Site","Bank","Dist","Group","Replicate","Abund","Biomass","Trophic","Region","Width","Order","OrderClass","Geomorph","Banks","VegFld","VegUp","VegShift","shortSite","SiteBank","AbBiom","AbBiomTopCut","preForest","Forest","Wall","DistShift","AbBiomTopCutNoWeird","AbBiomTopCutNoWeirdHighDrop","Effect","logEffect","logDist"
"ARZO1-LB/2 PrSpHu","ARZO1","LB",2,"PrSpHu",2,17,7.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",125.8,125.8,40,40,NA,2,125.8,125.8,0.387315270935961,-0.948516264021183,0.693147180559945
"ARZO1-LB/32 PrSpHu","ARZO1","LB",32,"PrSpHu",1,6,6.9,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",41.4,41.4,40,40,NA,32,41.4,41.4,0.127463054187192,-2.05992872745625,3.46573590279973
"ARZO1-LB/32 PrSpHu","ARZO1","LB",32,"PrSpHu",2,6,9.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",56.4,56.4,40,40,NA,32,56.4,56.4,0.173645320197044,-1.75074044978351,3.46573590279973
"ARZO1-LB/4 PrBeet","ARZO1","LB",4,"PrBeet",1,12,11.3,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",135.6,135.6,40,40,NA,4,135.6,135.6,0.417487684729064,-0.873500232781228,1.38629436111989
"ARZO1-LB/4 PrBeet","ARZO1","LB",4,"PrBeet",3,7,3.9,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",27.3,27.3,40,40,NA,4,27.3,27.3,0.084051724137931,-2.47632290609661,1.38629436111989
"ARZO1-LB/4 PrSpHu","ARZO1","LB",4,"PrSpHu",1,2,31.8,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",63.6,63.6,40,40,NA,4,63.6,63.6,0.195812807881773,-1.63059613794145,1.38629436111989
"ARZO1-LB/4 PrSpHu","ARZO1","LB",4,"PrSpHu",2,28,7.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",207.2,207.2,40,40,NA,4,207.2,207.2,0.637931034482759,-0.449525097902195,1.38629436111989
"ARZO1-LB/4 PrSpHu","ARZO1","LB",4,"PrSpHu",3,3,10.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",31.2,31.2,40,40,NA,4,31.2,31.2,0.0960591133004926,-2.34279151347209,1.38629436111989
"ARZO1-LB/40 PrBeet","ARZO1","LB",40,"PrBeet",1,1,108.8,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",108.8,108.8,40,40,NA,40,108.8,108.8,0.334975369458128,-1.09369827386568,3.68887945411394
"ARZO1-LB/40 PrBeet","ARZO1","LB",40,"PrBeet",2,1,24.7,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",24.7,24.7,40,40,NA,40,24.7,24.7,0.0760467980295566,-2.57640636465359,3.68887945411394
"ARZO1-LB/40 PrSpHu","ARZO1","LB",40,"PrSpHu",1,1,28.2,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",28.2,28.2,40,40,NA,40,28.2,28.2,0.0868226600985222,-2.44388763034345,3.68887945411394
"ARZO1-LB/40 PrSpHu","ARZO1","LB",40,"PrSpHu",2,1,4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",4,4,40,40,NA,40,4,4,0.0123152709359606,-4.39691524716763,3.68887945411394
"ARZO1-LB/40 PrSpWe","ARZO1","LB",40,"PrSpWe",1,1,2.1,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",2.1,2.1,40,40,NA,40,2.1,2.1,0.00646551724137931,-5.04127226355815,3.68887945411394
"ARZO1-LB/8 PrSpHu","ARZO1","LB",8,"PrSpHu",2,4,7.2,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",28.8,28.8,40,40,NA,8,28.8,28.8,0.0886699507389163,-2.42283422114562,2.07944154167984
"ARZO1-LB/8 PrSpHu","ARZO1","LB",8,"PrSpHu",3,3,0.7,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1LB",2.1,2.1,40,40,NA,8,2.1,2.1,0.00646551724137931,-5.04127226355815,2.07944154167984
"ARZO1-RB/16 PrSpHu","ARZO1","RB",16,"PrSpHu",1,8,3.3,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",26.4,26.4,32,32,NA,14,26.4,26.4,0.312056737588652,-1.16457025645991,2.63905732961526
"ARZO1-RB/16 PrSpHu","ARZO1","RB",16,"PrSpHu",1,7,2.8,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",19.6,19.6,32,32,NA,14,19.6,19.6,0.231678486997636,-1.46240470037571,2.63905732961526
"ARZO1-RB/2 PrBeet","ARZO1","RB",2,"PrBeet",1,4,1.2,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",4.8,4.8,32,32,NA,0,4.8,4.8,0.0567375886524823,-2.86931834869833,-3
"ARZO1-RB/2 PrBeet","ARZO1","RB",2,"PrBeet",3,3,2,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",6,6,32,32,NA,0,6,6,0.0709219858156028,-2.64617479738412,-3
"ARZO1-RB/2 PrSpHu","ARZO1","RB",2,"PrSpHu",1,2,16.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",32.8,32.8,32,32,NA,0,32.8,32.8,0.387706855791962,-0.94750575122208,-3
"ARZO1-RB/2 PrSpHu","ARZO1","RB",2,"PrSpHu",1,11,1.9,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",20.9,20.9,32,32,NA,0,20.9,20.9,0.247044917257683,-1.39818510764141,-3
"ARZO1-RB/2 PrSpHu","ARZO1","RB",2,"PrSpHu",2,3,3.6,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",10.8,10.8,32,32,NA,0,10.8,10.8,0.127659574468085,-2.058388132482,-3
"ARZO1-RB/2 PrSpHu","ARZO1","RB",2,"PrSpHu",3,18,4.7,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",84.6,84.6,32,32,NA,0,84.6,84.6,1,0,-3
"ARZO1-RB/32 PrBeet","ARZO1","RB",32,"PrBeet",1,1,112.6,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",112.6,112.6,32,32,NA,30,112.6,84.6,1,0,3.40119738166216
"ARZO1-RB/32 PrBeet","ARZO1","RB",32,"PrBeet",2,1,100.5,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",100.5,100.5,32,32,NA,30,100.5,84.6,1,0,3.40119738166216
"ARZO1-RB/32 PrSpHu","ARZO1","RB",32,"PrSpHu",1,6,31.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",188.4,188.4,32,32,NA,30,188.4,84.6,1,0,3.40119738166216
"ARZO1-RB/32 PrSpHu","ARZO1","RB",32,"PrSpHu",3,4,1.1,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",4.4,4.4,32,32,NA,30,4.4,4.4,0.0520094562647754,-2.95632972568796,3.40119738166216
"ARZO1-RB/32 PrSpWe","ARZO1","RB",32,"PrSpWe",1,3,1.7,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",5.1,5.1,32,32,NA,30,5.1,5.1,0.0602836879432624,-2.8086937268819,3.40119738166216
"ARZO1-RB/32 PrSpWe","ARZO1","RB",32,"PrSpWe",3,4,6.9,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",27.6,27.6,32,32,NA,30,27.6,27.6,0.326241134751773,-1.12011849388907,3.40119738166216
"ARZO1-RB/4 PrBeet","ARZO1","RB",4,"PrBeet",1,3,1.6,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",4.8,4.8,32,32,NA,2,4.8,4.8,0.0567375886524823,-2.86931834869833,0.693147180559945
"ARZO1-RB/4 PrBeet","ARZO1","RB",4,"PrBeet",2,1,0.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",0.4,0.4,32,32,NA,2,0.4,0.4,0.00472813238770686,-5.35422499848633,0.693147180559945
"ARZO1-RB/4 PrSpHu","ARZO1","RB",4,"PrSpHu",1,7,5.6,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",39.2,39.2,32,32,NA,2,39.2,39.2,0.463356973995272,-0.769257519815761,0.693147180559945
"ARZO1-RB/4 PrSpHu","ARZO1","RB",4,"PrSpHu",2,9,2.6,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",23.4,23.4,32,32,NA,2,23.4,23.4,0.276595744680851,-1.28519824424852,0.693147180559945
"ARZO1-RB/4 PrSpWe","ARZO1","RB",4,"PrSpWe",2,1,6.6,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",6.6,6.6,32,32,NA,2,6.6,6.6,0.0780141843971631,-2.5508646175798,0.693147180559945
"ARZO1-RB/40 PrBeet","ARZO1","RB",40,"PrBeet",2,2,0.1,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",0.2,0.2,32,32,NA,38,0.2,0.2,0.00236406619385343,-6.04737217904628,3.63758615972639
"ARZO1-RB/40 PrBeet","ARZO1","RB",40,"PrBeet",3,1,0.1,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",0.1,0.1,32,32,NA,38,0.1,0.1,0.00118203309692671,-6.74051935960622,3.63758615972639
"ARZO1-RB/40 PrSpWe","ARZO1","RB",40,"PrSpWe",2,2,2.8,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",5.6,5.6,32,32,NA,38,5.6,5.6,0.066193853427896,-2.71516766887107,3.63758615972639
"ARZO1-RB/8 PrSpHu","ARZO1","RB",8,"PrSpHu",1,5,0.9,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",4.5,4.5,32,32,NA,6,4.5,4.5,0.0531914893617021,-2.9338568698359,1.79175946922805
"ARZO1-RB/8 PrSpHu","ARZO1","RB",8,"PrSpHu",2,4,2.9,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",11.6,11.6,32,32,NA,6,11.6,11.6,0.137115839243499,-1.98692916849986,1.79175946922805
"ARZO1-RB/8 PrSpWe","ARZO1","RB",8,"PrSpWe",1,3,11.4,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",34.2,34.2,32,32,NA,6,34.2,34.2,0.404255319148936,-0.905708622543618,1.79175946922805
"ARZO1-RB/8 PrSpWe","ARZO1","RB",8,"PrSpWe",2,2,2.3,2,"Tagliamento",22,"3","3to4","Meandering","Gradual","Understory","Overstory","Understory–Overstory","ARZO1","ARZO1RB",4.6,4.6,32,32,NA,6,4.6,4.6,0.0543735224586288,-2.91187796311713,1.79175946922805
"ARZO2-LB/0 PrBeet","ARZO2","LB",0,"PrBeet",2,1,0.4,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",0.4,0.4,NA,NA,8,0,0.4,0.4,0.00297619047619048,-5.8171111599632,-3
"ARZO2-LB/0 PrBeet","ARZO2","LB",0,"PrBeet",3,2,0.7,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",1.4,1.4,NA,NA,8,0,1.4,1.4,0.0104166666666667,-4.56434819146784,-3
"ARZO2-LB/0 PrSpHu","ARZO2","LB",0,"PrSpHu",1,11,2.6,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",28.6,28.6,NA,NA,8,0,28.6,28.6,0.212797619047619,-1.54741371026324,-3
"ARZO2-LB/0 PrSpHu","ARZO2","LB",0,"PrSpHu",2,6,1.8,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",10.8,10.8,NA,NA,8,0,10.8,10.8,0.0803571428571429,-2.52127429395888,-3
"ARZO2-LB/0 PrSpHu","ARZO2","LB",0,"PrSpHu",3,8,4,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",32,32,NA,NA,8,0,32,32,0.238095238095238,-1.43508452528932,-3
"ARZO2-LB/1 PrBeet","ARZO2","LB",1,"PrBeet",1,2,63.9,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",127.8,127.8,NA,NA,8,1,127.8,127.8,0.950892857142857,-0.0503538861456148,0
"ARZO2-LB/1 PrBeet","ARZO2","LB",1,"PrBeet",3,1,0.3,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",0.3,0.3,NA,NA,8,1,0.3,0.3,0.00223214285714286,-6.10479323241498,0
"ARZO2-LB/1 PrSpHu","ARZO2","LB",1,"PrSpHu",1,4,9.5,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",38,38,NA,NA,8,1,38,38,0.282738095238095,-1.26323426836266,0
"ARZO2-LB/1 PrSpHu","ARZO2","LB",1,"PrSpHu",2,4,23.1,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",92.4,92.4,NA,NA,8,1,92.4,92.4,0.6875,-0.374693449441411,0
"ARZO2-LB/1 PrSpHu","ARZO2","LB",1,"PrSpHu",3,3,12.7,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",38.1,38.1,NA,NA,8,1,38.1,38.1,0.283482142857143,-1.26060614595639,0
"ARZO2-LB/2 PrBeet","ARZO2","LB",2,"PrBeet",1,2,5.7,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",11.4,11.4,NA,NA,8,2,11.4,11.4,0.0848214285714286,-2.4672070726886,0.693147180559945
"ARZO2-LB/2 PrBeet","ARZO2","LB",2,"PrBeet",3,4,0.3,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",1.2,1.2,NA,NA,8,2,1.2,1.2,0.00892857142857143,-4.71849887129509,0.693147180559945
"ARZO2-LB/2 PrSpHu","ARZO2","LB",2,"PrSpHu",1,4,10.5,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",42,42,NA,NA,8,2,42,42,0.3125,-1.16315080980568,0.693147180559945
"ARZO2-LB/2 PrSpHu","ARZO2","LB",2,"PrSpHu",2,1,0.8,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",0.8,0.8,NA,NA,8,2,0.8,0.8,0.00595238095238095,-5.12396397940326,0.693147180559945
"ARZO2-LB/2 PrSpHu","ARZO2","LB",2,"PrSpHu",3,2,2.2,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",4.4,4.4,NA,NA,8,2,4.4,4.4,0.0327380952380952,-3.41921588716483,0.693147180559945
"ARZO2-LB/4 PrBeet","ARZO2","LB",4,"PrBeet",1,4,0.5,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",2,2,NA,NA,8,4,2,2,0.0148809523809524,-4.2076732475291,1.38629436111989
"ARZO2-LB/4 PrSpHu","ARZO2","LB",4,"PrSpHu",1,3,3.2,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",9.6,9.6,NA,NA,8,4,9.6,9.6,0.0714285714285714,-2.63905732961526,1.38629436111989
"ARZO2-LB/4 PrSpHu","ARZO2","LB",4,"PrSpHu",2,2,8.3,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",16.6,16.6,NA,NA,8,4,16.6,16.6,0.123511904761905,-2.09141773272655,1.38629436111989
"ARZO2-LB/5 PrSpHu","ARZO2","LB",5,"PrSpHu",3,3,1.4,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",4.2,4.2,NA,NA,8,5,4.2,4.2,0.03125,-3.46573590279973,1.6094379124341
"ARZO2-LB/5 PrSpWe","ARZO2","LB",5,"PrSpWe",1,5,3.5,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",17.5,17.5,NA,NA,8,5,17.5,17.5,0.130208333333333,-2.03861954715958,1.6094379124341
"ARZO2-LB/8 PrBeet","ARZO2","LB",8,"PrBeet",2,1,94.7,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",94.7,94.7,NA,NA,8,8,94.7,94.7,0.704613095238095,-0.350106427897017,2.07944154167984
"ARZO2-LB/8 PrSpHu","ARZO2","LB",8,"PrSpHu",1,1,5,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",5,5,NA,NA,8,8,5,5,0.037202380952381,-3.29138251565495,2.07944154167984
"ARZO2-LB/8 PrSpHu","ARZO2","LB",8,"PrSpHu",2,2,9,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",18,18,NA,NA,8,8,18,18,0.133928571428571,-2.01044867019288,2.07944154167984
"ARZO2-LB/8 PrSpWe","ARZO2","LB",8,"PrSpWe",1,2,0.3,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",0.6,0.6,NA,NA,8,8,0.6,0.6,0.00446428571428571,-5.41164605185504,2.07944154167984
"ARZO2-LB/8 PrSpWe","ARZO2","LB",8,"PrSpWe",2,3,1.2,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",3.6,3.6,NA,NA,8,8,3.6,3.6,0.0267857142857143,-3.61988658262699,2.07944154167984
"ARZO2-LB/8 PrSpWe","ARZO2","LB",8,"PrSpWe",3,2,0.3,2,"Tagliamento",26,"3","3to4","Meandering","Terrace","Understory","Overstory","Understory–Overstory","ARZO2","ARZO2LB",0.6,0.6,NA,NA,8,8,0.6,0.6,0.00446428571428571,-5.41164605185504,2.07944154167984
"BALL1-LB/0 PrBeet","BALL1","LB",0,"PrBeet",0,1,5.8,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",5.8,5.8,64,64,NA,0,5.8,5.8,0.0305423907319642,-3.48863970026587,-3
"BALL1-LB/0 PrSpWe","BALL1","LB",0,"PrSpWe",0,6,11.1,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",66.6,66.6,64,64,NA,0,66.6,66.6,0.350710900473934,-1.0477930402719,-3
"BALL1-LB/10 PrBeet","BALL1","LB",10,"PrBeet",0,9,1.4,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",12.6,12.6,64,64,NA,10,12.6,12.6,0.0663507109004739,-2.71280080386081,2.30258509299405
"BALL1-LB/10 PrSpWe","BALL1","LB",10,"PrSpWe",0,7,10.9,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",76.3,76.3,64,64,NA,10,76.3,76.3,0.401790416008425,-0.911824679527829,2.30258509299405
"BALL1-LB/15 PrBeet","BALL1","LB",15,"PrBeet",0,7,1.1,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",7.7,7.7,64,64,NA,15,7.7,7.7,0.0405476566614007,-3.2052772889586,2.70805020110221
"BALL1-LB/15 PrSpHu","BALL1","LB",15,"PrSpHu",0,4,9,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",36,36,64,64,NA,15,36,36,0.18957345971564,-1.66297867936213,2.70805020110221
"BALL1-LB/15 PrSpWe","BALL1","LB",15,"PrSpWe",0,4,8.2,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",32.8,32.8,64,64,NA,15,32.8,32.8,0.172722485518694,-1.75606910242814,2.70805020110221
"BALL1-LB/2.5 PrBeet","BALL1","LB",2.5,"PrBeet",0,2,0.1,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",0.2,0.2,64,64,NA,2.5,0.2,0.2,0.00105318588730911,-6.85593553025234,0.916290731874155
"BALL1-LB/2.5 PrSpWe","BALL1","LB",2.5,"PrSpWe",0,9,21.1,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",189.9,189.9,64,64,NA,2.5,189.9,189.9,1,0,0.916290731874155
"BALL1-LB/20 PrBeet","BALL1","LB",20,"PrBeet",0,3,0.8,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",2.4,2.4,64,64,NA,20,2.4,2.4,0.0126382306477093,-4.37102888046434,2.99573227355399
"BALL1-LB/20 PrSpHu","BALL1","LB",20,"PrSpHu",0,2,1.1,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",2.2,2.2,64,64,NA,20,2.2,2.2,0.0115850447604002,-4.45804025745397,2.99573227355399
"BALL1-LB/20 PrSpWe","BALL1","LB",20,"PrSpWe",0,2,25.9,2,"Coweeta",5,"3","3to4","Meandering","Gradual","Overstory","Overstory","None","BALL1","BALL1LB",51.8,51.8,64,64,NA,20,51.8,51.8,0.272775144813059,-1.2991074685528,2.99573227355399
